restaurant_id,restaurant_name,cuisine,city,area,total_orders,total_cancellations,cancellation_rate_pct,avg_delivery_duration,avg_order_value,avg_quality_risk,restaurant_health_score,distinct_items_served,top_ordered_item
RST00138,Ceylon Spice Al Majaz,Sri Lankan,Sharjah,Al Majaz,382,41,10.73,43.35,46.66,0.397,0.64,3,Fish Ambul Thiyal
RST00140,Maharaja Palace Jumeirah,Indian,Dubai,Jumeirah,402,33,8.21,43.29,115.09,0.332,0.876,10,Samosa (2pcs)
RST00142,Namaste Kitchen Al Mushrif,Indian,Abu Dhabi,Al Mushrif,362,48,13.26,42.21,118.95,0.42,0.555,10,Dal Makhani
RST00181,Nobu Express Al Jurf,Japanese,Ajman,Al Jurf,357,45,12.61,42.38,77.46,0.36,0.797,10,Beef Gyoza (6pcs)
RST00186,Bombay Kitchen Oud Metha,Indian,Dubai,Oud Metha,426,70,16.43,42.66,113.38,0.469,0.361,10,Lamb Rogan Josh
RST00215,Nobu Express Al Nuaimiya,Japanese,Ajman,Al Nuaimiya,414,57,13.77,41.45,77.64,0.417,0.561,10,Yakitori Skewers
RST00227,Wok to Walk Al Raha Beach,Chinese,Abu Dhabi,Al Raha Beach,333,45,13.51,42.52,236.09,0.389,0.665,10,Dim Sum Basket
RST00228,Curry Leaf Tourist Club Area,Indian,Abu Dhabi,Tourist Club Area,374,48,12.83,41.36,115.51,0.4,0.601,10,Gulab Jamun
RST00230,Karachi Darbar JLT,Pakistani,Dubai,JLT,400,44,11.0,41.76,101.97,0.377,0.702,10,Sheer Khurma
RST00237,Curry Leaf Nad Al Sheba,Indian,Dubai,Nad Al Sheba,347,53,15.27,43.12,113.18,0.499,0.28,10,Chicken Biryani
RST00245,Desi Zaika Jumeirah,Pakistani,Dubai,Jumeirah,395,34,8.61,46.27,107.51,0.349,0.88,10,Haleem
RST00251,Noodle Bar Shanghai Creek Harbour,Chinese,Dubai,Creek Harbour,450,56,12.44,43.22,227.76,0.378,0.731,10,Dim Sum Basket
RST00254,Pampanga Kitchen Saadiyat Island,Filipino,Abu Dhabi,Saadiyat Island,396,53,13.38,44.02,203.89,0.404,0.608,10,Pancit Canton
RST00261,Desi Zaika Khalifa City,Pakistani,Abu Dhabi,Khalifa City,349,24,6.88,44.41,105.47,0.331,0.934,10,Sheer Khurma
RST00263,Jollibee Express Business Bay,Filipino,Dubai,Business Bay,366,34,9.29,43.71,100.31,0.318,0.921,10,Halo Halo
RST00269,Tawlet Al Nuaimiya,Lebanese,Ajman,Al Nuaimiya,391,34,8.7,43.85,56.87,0.364,0.786,10,Kafta Wrap
RST00275,Namaste Kitchen Al Majaz,Indian,Sharjah,Al Majaz,400,32,8.0,43.47,59.7,0.33,0.935,10,Garlic Naan
RST00278,Tagalog Tastes Mirdif,Filipino,Dubai,Mirdif,390,34,8.72,44.49,98.19,0.392,0.668,10,Lechon Kawali
RST00283,Al Fanar Al Barsha,Arabic,Dubai,Al Barsha,422,32,7.58,43.56,125.9,0.356,0.796,10,Lamb Mandi
RST00300,All American Diner Yas Island,American,Abu Dhabi,Yas Island,380,53,13.95,43.53,260.87,0.369,0.754,10,Onion Rings
RST00311,Spice Route JLT,Indian,Dubai,JLT,367,55,14.99,43.08,113.52,0.399,0.622,10,Dal Makhani
RST00319,Lotus Thai Al Muroor,Thai,Abu Dhabi,Al Muroor,349,39,11.17,41.97,53.67,0.344,0.85,5,Mango Sticky Rice
RST00320,Pizza Express Dubai Al Nahda Dubai,Italian,Dubai,Al Nahda Dubai,384,33,8.59,45.17,70.04,0.366,0.799,10,Cannoli Siciliani
RST00321,Spice Route Al Rashidiya,Indian,Ajman,Al Rashidiya,393,36,9.16,42.63,59.13,0.327,0.89,10,Lamb Rogan Josh
RST00362,Royal Biryani House Motor City,Indian,Dubai,Motor City,389,42,10.8,43.54,113.83,0.36,0.768,10,Butter Chicken
RST00374,Il Pomodoro Al Nahda,Italian,Sharjah,Al Nahda,393,40,10.18,43.55,69.83,0.354,0.827,10,Risotto ai Funghi
RST00377,Bedouin Kitchen Tourist Club Area,Arabic,Abu Dhabi,Tourist Club Area,397,33,8.31,43.16,128.48,0.346,0.807,10,Grilled Hammour
RST00378,Al Fanar Karama,Arabic,Dubai,Karama,390,25,6.41,44.38,62.64,0.308,0.973,10,Dates & Karak
RST00379,Mumbai Street Food Oud Metha,Indian,Dubai,Oud Metha,391,66,16.88,41.19,115.01,0.467,0.354,10,Garlic Naan
RST00399,Royal Biryani House JLT,Indian,Dubai,JLT,378,60,15.87,43.71,111.54,0.448,0.445,10,Gulab Jamun
RST00404,Vesuvio Kitchen DIFC,Italian,Dubai,DIFC,341,31,9.09,40.84,334.34,0.389,0.676,10,Bruschetta
RST00414,Cedar Tree Business Bay,Lebanese,Dubai,Business Bay,390,35,8.97,42.46,116.57,0.369,0.776,10,Chicken Tawook
RST00427,Vesuvio Kitchen Al Reem Island,Italian,Abu Dhabi,Al Reem Island,410,52,12.68,41.05,132.18,0.368,0.756,10,Caprese Salad
RST00432,Chai & Spice Al Raha Beach,Indian,Abu Dhabi,Al Raha Beach,402,39,9.7,41.84,256.21,0.347,0.803,10,Dal Makhani
RST00433,Karachi Darbar Nad Al Sheba,Pakistani,Dubai,Nad Al Sheba,344,42,12.21,41.46,104.14,0.386,0.706,10,Mutton Biryani
RST00438,Beirut Express Sports City,Lebanese,Dubai,Sports City,386,68,17.62,43.86,115.77,0.485,0.295,10,Lamb Kibbeh
RST00447,The Wing Co Creek Harbour,American,Dubai,Creek Harbour,349,46,13.18,42.56,256.77,0.421,0.559,10,Classic Smash Burger
RST00457,Pinoy Kitchen DIFC,Filipino,Dubai,DIFC,370,28,7.57,42.49,201.38,0.35,0.832,10,Pancit Canton
RST00467,Byblos on the Sea Al Jurf,Lebanese,Ajman,Al Jurf,402,50,12.44,42.13,58.44,0.372,0.732,10,Knafeh
RST00473,Ihaw Ihaw Jumeirah Village Triangle,Filipino,Dubai,Jumeirah Village Triangle,383,34,8.88,41.54,93.33,0.349,0.784,10,Beef Caldereta
RST00482,Mandi House Jumeirah,Arabic,Dubai,Jumeirah,367,40,10.9,41.92,129.26,0.365,0.751,10,Grilled Hammour
RST00489,BBQ Tonight Jumeirah Village Circle,Pakistani,Dubai,Jumeirah Village Circle,369,42,11.38,42.1,104.98,0.352,0.778,10,Aloo Gosht
RST00490,Green Valley Pakistani Al Muroor,Pakistani,Abu Dhabi,Al Muroor,368,69,18.75,43.66,53.41,0.471,0.363,10,Aloo Gosht
RST00500,Suhoor Lounge Muwaileh,Arabic,Sharjah,Muwaileh,387,40,10.34,42.71,63.43,0.379,0.686,10,Lamb Mandi
RST00523,Ceylon Spice Khalifa City,Sri Lankan,Abu Dhabi,Khalifa City,394,59,14.97,43.52,87.63,0.389,0.706,3,Rice & Curry
RST00524,Nashville Hot Al Taawun,American,Sharjah,Al Taawun,382,36,9.42,42.85,62.44,0.339,0.914,10,Beef Hot Dog
RST00528,Noodle Bar Shanghai Al Raha Beach,Chinese,Abu Dhabi,Al Raha Beach,391,54,13.81,43.79,227.69,0.357,0.791,10,Dim Sum Basket
RST00530,Bollywood Bites Marina,Indian,Dubai,Marina,439,48,10.93,42.03,230.1,0.352,0.782,10,Dal Makhani
RST00534,La Cucina Jumeirah Village Circle,Italian,Dubai,Jumeirah Village Circle,357,46,12.89,42.17,144.83,0.409,0.607,10,Risotto ai Funghi
RST00539,Patty Perfect Al Furjan,American,Dubai,Al Furjan,382,60,15.71,42.96,115.91,0.428,0.499,10,Crispy Chicken Sandwich
RST00548,Curry Leaf Al Barsha,Indian,Dubai,Al Barsha,364,64,17.58,43.24,118.71,0.421,0.549,10,Gulab Jamun
RST00568,Al Waha Lebanese Al Nuaimiya,Lebanese,Ajman,Al Nuaimiya,362,39,10.77,42.26,57.96,0.381,0.702,10,Mezze Platter
RST00583,Pampanga Kitchen Al Jurf,Filipino,Ajman,Al Jurf,412,42,10.19,42.23,50.54,0.348,0.865,10,Chicken Adobo
RST00584,Mandi House Dubai Hills,Arabic,Dubai,Dubai Hills,380,46,12.11,44.93,285.73,0.389,0.686,10,Jareesh
RST00600,Dim Sum Palace Sports City,Chinese,Dubai,Sports City,349,25,7.16,42.88,110.14,0.353,0.831,10,Kung Pao Chicken
RST00614,Bedouin Kitchen Discovery Gardens,Arabic,Dubai,Discovery Gardens,357,47,13.17,41.82,62.1,0.435,0.496,10,Hummus Platter
RST00618,Masala Junction Al Rashidiya,Indian,Ajman,Al Rashidiya,383,42,10.97,42.46,56.29,0.331,0.887,10,Butter Chicken
RST00622,Al Waha Lebanese Business Bay,Lebanese,Dubai,Business Bay,392,52,13.27,43.04,120.96,0.428,0.531,10,Manakeesh Zaatar
RST00629,Il Pomodoro Corniche,Italian,Abu Dhabi,Corniche,389,33,8.48,43.37,299.97,0.364,0.77,10,Lasagne al Forno
RST00631,Maharaja Palace Jumeirah,Indian,Dubai,Jumeirah,371,46,12.4,43.73,112.96,0.424,0.562,10,Gulab Jamun
RST00633,Adobo House Al Nahda Dubai,Filipino,Dubai,Al Nahda Dubai,385,40,10.39,44.74,47.94,0.35,0.838,10,Kare Kare
RST00635,Haleem Express Arabian Ranches,Pakistani,Dubai,Arabian Ranches,380,47,12.37,42.38,107.7,0.376,0.708,10,Nihari
RST00639,Leila Restaurant Deira,Lebanese,Dubai,Deira,394,44,11.17,42.76,58.56,0.377,0.722,10,Baba Ghanoush
RST00640,Tandoor House Downtown,Indian,Dubai,Downtown,414,44,10.63,41.99,257.23,0.395,0.69,10,Mango Lassi
RST00649,Sisig Station Marina,Filipino,Dubai,Marina,375,45,12.0,41.12,192.83,0.39,0.632,10,Kare Kare
RST00653,Sawadee Kitchen Al Zaab,Thai,Abu Dhabi,Al Zaab,378,49,12.96,43.09,51.7,0.401,0.621,5,Mango Sticky Rice
RST00655,Sakura Sushi Arabian Ranches,Japanese,Dubai,Arabian Ranches,414,51,12.32,42.68,153.17,0.379,0.701,10,Tonkotsu Ramen
RST00663,Lucky Wok Sports City,Chinese,Dubai,Sports City,358,34,9.5,42.06,103.14,0.385,0.693,10,Mapo Tofu
RST00682,Lanka Bites Palm Jumeirah,Sri Lankan,Dubai,Palm Jumeirah,414,39,9.42,44.03,180.85,0.363,0.768,3,Fish Ambul Thiyal
RST00687,Mumbai Street Food Al Quoz,Indian,Dubai,Al Quoz,385,35,9.09,42.14,55.75,0.31,0.963,10,Chicken Biryani
RST00688,Spice Route Festival City,Indian,Dubai,Festival City,385,40,10.39,42.89,239.62,0.336,0.866,10,Chicken Biryani
RST00692,Namaste Kitchen Al Furjan,Indian,Dubai,Al Furjan,394,40,10.15,42.43,111.73,0.315,0.97,10,Samosa (2pcs)
RST00693,Sawadee Kitchen Al Khalidiyah,Thai,Abu Dhabi,Al Khalidiyah,360,40,11.11,42.09,104.5,0.42,0.538,5,Thai Basil Fried Rice
RST00708,BBQ Smokehouse Dubai Hills,American,Dubai,Dubai Hills,395,24,6.08,42.64,265.19,0.338,0.877,10,Beef Hot Dog
RST00716,Noodle Bar Shanghai JLT,Chinese,Dubai,JLT,402,29,7.21,45.32,106.66,0.343,0.894,10,Wonton Soup
RST00728,Khaleeji Bites Al Muroor,Arabic,Abu Dhabi,Al Muroor,377,72,19.1,44.08,63.41,0.516,0.197,10,Jareesh
RST00736,Golden Curry Al Reem Island,Indian,Abu Dhabi,Al Reem Island,382,45,11.78,43.89,114.98,0.389,0.697,10,Chicken Tikka Masala
RST00744,Bombay Kitchen JLT,Indian,Dubai,JLT,362,46,12.71,41.75,117.54,0.475,0.321,10,Samosa (2pcs)
RST00753,Bombay Kitchen Al Nahda,Indian,Sharjah,Al Nahda,380,35,9.21,42.65,58.63,0.356,0.803,10,Chicken Tikka Masala
RST00765,Fattoush Kitchen Saadiyat Island,Lebanese,Abu Dhabi,Saadiyat Island,388,44,11.34,44.39,243.35,0.346,0.859,10,Mezze Platter
RST00778,Manila Garden Nad Al Sheba,Filipino,Dubai,Nad Al Sheba,389,35,9.0,43.03,93.84,0.321,0.945,10,Chicken Adobo
RST00787,Five Guys Kitchen Al Taawun,American,Sharjah,Al Taawun,382,37,9.69,42.97,62.2,0.397,0.647,10,Loaded Fries
RST00788,Tandoor House Dubai Hills,Indian,Dubai,Dubai Hills,354,28,7.91,43.61,247.35,0.321,0.954,10,Dal Makhani
RST00794,Babel Beirut Al Nahda,Lebanese,Sharjah,Al Nahda,385,38,9.87,41.37,61.78,0.373,0.718,10,Kafta Wrap
RST00796,Chai & Spice Karama,Indian,Dubai,Karama,395,27,6.84,42.93,56.46,0.324,0.917,10,Chicken Tikka Masala
RST00800,Amalfi Table Marina,Italian,Dubai,Marina,406,65,16.01,43.93,323.33,0.441,0.5,10,Lasagne al Forno
RST00804,Cedar Tree Deira,Lebanese,Dubai,Deira,368,25,6.79,43.23,59.65,0.328,0.92,10,Baba Ghanoush
RST00806,Spice Route Oud Metha,Indian,Dubai,Oud Metha,382,66,17.28,43.36,114.51,0.453,0.42,10,Gulab Jamun
RST00809,Adobo House Al Majaz,Filipino,Sharjah,Al Majaz,388,43,11.08,42.04,48.72,0.367,0.774,10,Chicken Adobo
RST00819,Peking House JLT,Chinese,Dubai,JLT,377,27,7.16,44.49,110.56,0.332,0.894,10,Peking Duck Wrap
RST00833,Zaatar w Zeit Al Barsha,Lebanese,Dubai,Al Barsha,384,29,7.55,42.66,114.61,0.317,0.956,10,Fattoush Salad
RST00839,Maharaja Palace Al Majaz,Indian,Sharjah,Al Majaz,404,46,11.39,43.54,57.77,0.363,0.761,10,Chicken Tikka Masala
RST00847,Tagalog Tastes DIFC,Filipino,Dubai,DIFC,388,20,5.15,41.92,197.85,0.339,0.88,10,Longganisa Rice
RST00853,Peking House Dubai Hills,Chinese,Dubai,Dubai Hills,378,37,9.79,41.91,228.47,0.325,0.928,10,Beef Chow Mein
RST00893,Nihari House Al Nahda,Pakistani,Sharjah,Al Nahda,352,43,12.22,43.63,52.97,0.368,0.758,10,Daal Chawal
RST00906,Suhoor Lounge Creek Harbour,Arabic,Dubai,Creek Harbour,359,27,7.52,43.94,286.33,0.333,0.875,10,Hummus Platter
RST00908,Ihaw Ihaw Arabian Ranches,Filipino,Dubai,Arabian Ranches,404,44,10.89,43.05,95.19,0.376,0.686,10,Sisig Rice Bowl
RST00926,Nihari House Al Majaz,Pakistani,Sharjah,Al Majaz,389,42,10.8,43.12,51.91,0.372,0.724,10,Karahi Chicken
RST00942,Islamabad Grill Al Nahda,Pakistani,Sharjah,Al Nahda,391,44,11.25,43.2,53.28,0.438,0.504,10,Aloo Gosht
RST00969,Al Safadi Al Taawun,Arabic,Sharjah,Al Taawun,389,40,10.28,42.88,61.29,0.388,0.655,10,Grilled Hammour
RST00987,Royal Biryani House Al Taawun,Indian,Sharjah,Al Taawun,383,30,7.83,42.13,58.81,0.322,0.905,10,Samosa (2pcs)
RST00988,Yakitori Yoshi Al Nahda,Japanese,Sharjah,Al Nahda,338,25,7.4,41.91,76.32,0.31,0.961,10,Edamame
RST01014,Dumpling Republic Silicon Oasis,Chinese,Dubai,Silicon Oasis,391,36,9.21,41.83,53.58,0.355,0.828,10,Wonton Soup
RST01016,Pampanga Kitchen Marina,Filipino,Dubai,Marina,388,35,9.02,43.93,189.16,0.337,0.893,10,Kare Kare
RST01022,Punjab Grill Mirdif,Indian,Dubai,Mirdif,383,37,9.66,42.93,117.36,0.357,0.821,10,Mango Lassi
RST01026,Mandi House Al Majaz,Arabic,Sharjah,Al Majaz,362,38,10.5,44.62,60.12,0.368,0.796,10,Kabsa
RST01028,Pampanga Kitchen Al Taawun,Filipino,Sharjah,Al Taawun,374,36,9.63,43.55,51.88,0.391,0.7,10,Beef Caldereta
RST01030,Desi Zaika Corniche,Pakistani,Abu Dhabi,Corniche,387,40,10.34,42.81,218.09,0.358,0.818,10,Daal Chawal
RST01040,Namaste Kitchen Business Bay,Indian,Dubai,Business Bay,384,44,11.46,40.96,118.13,0.366,0.733,10,Mango Lassi
RST01041,Chao Fan Express Festival City,Chinese,Dubai,Festival City,385,56,14.55,41.83,247.55,0.435,0.488,10,Wonton Soup
RST01068,The Wing Co Al Mushrif,American,Abu Dhabi,Al Mushrif,428,49,11.45,42.6,119.38,0.371,0.753,10,Nashville Hot Tenders
RST01077,Dynasty Kitchen Dubai South,Chinese,Dubai,Dubai South,376,51,13.56,43.46,51.98,0.435,0.515,10,Wonton Soup
RST01088,Leila Restaurant Marina,Lebanese,Dubai,Marina,381,36,9.45,41.56,245.24,0.37,0.735,10,Kafta Wrap
RST01093,Liberty Grill Saadiyat Island,American,Abu Dhabi,Saadiyat Island,372,32,8.6,42.88,245.75,0.333,0.849,10,BBQ Chicken Wings
RST01112,Tagalog Tastes Downtown,Filipino,Dubai,Downtown,370,44,11.89,42.9,200.41,0.334,0.9,10,Lechon Kawali
RST01116,Nashville Hot Festival City,American,Dubai,Festival City,390,41,10.51,43.35,250.1,0.346,0.812,10,Philly Cheesesteak
RST01119,Vesuvio Kitchen Downtown,Italian,Dubai,Downtown,403,37,9.18,42.72,316.85,0.36,0.812,10,Caprese Salad
RST01125,Curry Leaf Business Bay,Indian,Dubai,Business Bay,412,38,9.22,40.63,117.9,0.353,0.789,10,Chicken Tikka Masala
RST01131,Punjab Grill Yas Island,Indian,Abu Dhabi,Yas Island,402,43,10.7,41.8,250.48,0.318,0.928,10,Gulab Jamun
RST01137,Masala Junction Jumeirah Village Circle,Indian,Dubai,Jumeirah Village Circle,409,55,13.45,42.12,113.83,0.403,0.615,10,Chicken Biryani
RST01165,Namaste Kitchen Al Furjan,Indian,Dubai,Al Furjan,411,39,9.49,43.62,118.89,0.364,0.785,10,Chicken Tikka Masala
RST01183,Golden Curry Marina,Indian,Dubai,Marina,379,47,12.4,44.07,233.87,0.377,0.747,10,Lamb Rogan Josh
RST01213,Leila Restaurant Muwaileh,Lebanese,Sharjah,Muwaileh,399,56,14.04,43.39,55.76,0.463,0.379,10,Chicken Tawook
RST01215,Lutong Bahay Discovery Gardens,Filipino,Dubai,Discovery Gardens,359,35,9.75,43.48,50.42,0.348,0.833,10,Crispy Pata
RST01219,Burger District Downtown,American,Dubai,Downtown,355,37,10.42,42.42,259.79,0.325,0.927,10,Classic Smash Burger
RST01227,Suhoor Lounge Al Reef,Arabic,Abu Dhabi,Al Reef,397,51,12.85,41.83,67.11,0.422,0.555,10,Jareesh
RST01228,Lutong Bahay Al Nahda,Filipino,Sharjah,Al Nahda,380,38,10.0,44.29,48.97,0.345,0.841,10,Crispy Pata
RST01236,Five Guys Kitchen Al Karamah,American,Abu Dhabi,Al Karamah,373,50,13.4,43.79,121.29,0.386,0.685,10,Loaded Fries
RST01273,Edo Japanese Masdar City,Japanese,Abu Dhabi,Masdar City,401,46,11.47,41.75,149.58,0.361,0.76,10,Edamame
RST01277,Chai & Spice Al Nahda,Indian,Sharjah,Al Nahda,413,28,6.78,45.26,56.13,0.334,0.907,10,Lamb Rogan Josh
RST01280,Bollywood Bites Al Nahda,Indian,Sharjah,Al Nahda,373,30,8.04,44.2,58.08,0.33,0.911,10,Chicken Biryani
RST01282,Delhi Darbar Karama,Indian,Dubai,Karama,374,38,10.16,44.47,60.53,0.408,0.636,10,Garlic Naan
RST01295,All American Diner JLT,American,Dubai,JLT,405,43,10.62,43.37,118.01,0.329,0.887,10,Philly Cheesesteak
RST01298,Masala Junction Al Khalidiyah,Indian,Abu Dhabi,Al Khalidiyah,419,45,10.74,42.54,115.89,0.392,0.665,10,Chicken Biryani
RST01308,Il Pomodoro Business Bay,Italian,Dubai,Business Bay,377,34,9.02,42.61,143.83,0.332,0.892,10,Risotto ai Funghi
RST01313,Il Pomodoro Al Taawun,Italian,Sharjah,Al Taawun,352,32,9.09,44.15,67.83,0.345,0.838,10,Pasta Carbonara
RST01331,Tandoor House Al Quoz,Indian,Dubai,Al Quoz,386,40,10.36,44.49,58.23,0.352,0.848,10,Dal Makhani
RST01336,All American Diner Palm Jumeirah,American,Dubai,Palm Jumeirah,381,39,10.24,42.02,254.61,0.351,0.821,10,Nashville Hot Tenders
RST01351,BBQ Smokehouse Al Barsha,American,Dubai,Al Barsha,438,55,12.56,42.48,118.08,0.43,0.52,10,Mac & Cheese
RST01356,Namaste Kitchen Business Bay,Indian,Dubai,Business Bay,388,39,10.05,40.16,109.97,0.358,0.766,10,Samosa (2pcs)
RST01365,Masala Junction International City,Indian,Dubai,International City,427,35,8.2,43.32,57.42,0.333,0.916,10,Butter Chicken
RST01374,Bella Napoli Jumeirah Village Circle,Italian,Dubai,Jumeirah Village Circle,392,48,12.24,45.25,141.51,0.414,0.598,10,Chicken Parmigiana
RST01379,Namaste Kitchen Business Bay,Indian,Dubai,Business Bay,382,40,10.47,41.89,114.25,0.402,0.608,10,Gulab Jamun
RST01385,Burger District Downtown,American,Dubai,Downtown,389,41,10.54,41.32,262.28,0.334,0.878,10,Chocolate Milkshake
RST01392,Smash & Stack Khalifa City,American,Abu Dhabi,Khalifa City,401,47,11.72,41.89,123.93,0.384,0.689,10,Loaded Fries
RST01401,Lanka Bites Palm Jumeirah,Sri Lankan,Dubai,Palm Jumeirah,374,30,8.02,42.51,186.29,0.343,0.839,3,Rice & Curry
RST01405,Delhi Darbar Discovery Gardens,Indian,Dubai,Discovery Gardens,344,36,10.47,41.14,54.86,0.412,0.548,10,Chicken Biryani
RST01408,Emirati Table Al Reem Island,Arabic,Abu Dhabi,Al Reem Island,383,38,9.92,41.28,126.18,0.328,0.9,10,Mixed Grill
RST01416,Shake Shack Express Business Bay,American,Dubai,Business Bay,399,48,12.03,41.48,121.15,0.367,0.742,10,Mac & Cheese
RST01418,Delhi Darbar DIFC,Indian,Dubai,DIFC,358,44,12.29,43.9,245.1,0.385,0.669,10,Gulab Jamun
RST01420,Zaatar w Zeit Dubai South,Lebanese,Dubai,Dubai South,390,42,10.77,42.83,56.9,0.351,0.813,10,Warak Dawali
RST01422,Lucky Wok Al Nahda,Chinese,Sharjah,Al Nahda,377,46,12.2,42.62,52.26,0.405,0.611,10,Mapo Tofu
RST01428,Beirut Express Al Reef,Lebanese,Abu Dhabi,Al Reef,409,46,11.25,43.04,57.87,0.392,0.65,10,Mezze Platter
RST01435,Suhoor Lounge Al Furjan,Arabic,Dubai,Al Furjan,412,40,9.71,42.47,124.78,0.32,0.946,10,Mixed Grill
RST01440,Bella Napoli Muwaileh,Italian,Sharjah,Muwaileh,386,38,9.84,44.5,70.82,0.38,0.722,10,Lasagne al Forno
RST01444,Vesuvio Kitchen Dubai Hills,Italian,Dubai,Dubai Hills,413,41,9.93,43.14,316.78,0.343,0.867,10,Bruschetta
RST01450,Al Hamra Pakistani Downtown,Pakistani,Dubai,Downtown,338,47,13.91,42.0,223.02,0.384,0.719,10,Haleem
RST01455,Izakaya House Al Rashidiya,Japanese,Ajman,Al Rashidiya,408,30,7.35,44.85,75.39,0.325,0.929,10,Yakitori Skewers
RST01473,Byblos on the Sea Motor City,Lebanese,Dubai,Motor City,375,37,9.87,42.8,117.8,0.403,0.602,10,Warak Dawali
RST01474,La Cucina Al Taawun,Italian,Sharjah,Al Taawun,379,50,13.19,42.47,70.61,0.402,0.628,10,Penne Arrabbiata
RST01475,Sisig Station Business Bay,Filipino,Dubai,Business Bay,401,37,9.23,42.89,98.12,0.342,0.854,10,Beef Caldereta
RST01479,Tandoor House Al Rashidiya,Indian,Ajman,Al Rashidiya,354,32,9.04,43.06,55.46,0.362,0.759,10,Chicken Biryani
RST01487,BBQ Tonight Khalifa City,Pakistani,Abu Dhabi,Khalifa City,404,60,14.85,43.46,102.37,0.434,0.507,10,Aloo Gosht
RST01489,Lahori Chaska Al Taawun,Pakistani,Sharjah,Al Taawun,396,35,8.84,44.85,50.71,0.331,0.916,10,Haleem
RST01492,Thai Orchid Deira,Thai,Dubai,Deira,399,34,8.52,42.73,55.41,0.403,0.611,5,Green Curry Chicken
RST01499,Suhoor Lounge Business Bay,Arabic,Dubai,Business Bay,352,50,14.2,40.58,132.74,0.429,0.494,10,Falafel Wrap
RST01515,Pinoy Kitchen Satwa,Filipino,Dubai,Satwa,396,53,13.38,42.15,49.37,0.416,0.553,10,Crispy Pata
RST01526,Saffron Table Palm Jumeirah,Indian,Dubai,Palm Jumeirah,378,30,7.94,44.24,239.56,0.34,0.862,10,Mango Lassi
RST01528,Golden Curry Oud Metha,Indian,Dubai,Oud Metha,362,37,10.22,42.27,122.54,0.345,0.851,10,Chicken Tikka Masala
RST01529,Desi Zaika Jumeirah,Pakistani,Dubai,Jumeirah,414,56,13.53,43.49,104.03,0.424,0.522,10,Aloo Gosht
RST01554,Dim Sum Palace Al Rashidiya,Chinese,Ajman,Al Rashidiya,385,38,9.87,42.25,54.47,0.358,0.823,10,Wonton Soup
RST01577,Masala Junction Deira,Indian,Dubai,Deira,338,42,12.43,43.35,59.98,0.366,0.819,10,Chicken Biryani
RST01584,Curry Leaf Al Nahda,Indian,Sharjah,Al Nahda,426,63,14.79,43.44,59.23,0.448,0.433,10,Butter Chicken
