user_id,total_orders,avg_order_value,total_spend,total_cancellations,cancellation_rate_pct,weekend_orders,ramadan_orders,avg_delivery_duration,avg_risk_score,user_subscription,city,payment_method,churn_risk,top_cuisine
USR000172,35,137.12,4799.34,8,22.86,10,1,45.27,0.381,0,Dubai,Credit Card,0,Indian
USR000177,33,106.54,3515.9,2,6.06,8,3,41.22,0.381,0,Dubai,Apple Pay,0,Indian
USR000179,27,135.9,3669.24,5,18.52,7,6,46.14,0.368,1,Dubai,Apple Pay,0,Indian
USR000180,11,93.01,1023.11,1,9.09,2,1,45.75,0.445,0,Sharjah,Apple Pay,1,Indian
USR000188,23,76.24,1753.46,0,0.0,11,3,40.87,0.415,1,Dubai,Credit Card,0,Indian
USR000194,9,79.1,711.87,0,0.0,0,3,43.79,0.346,1,Sharjah,Apple Pay,1,American
USR000195,38,150.33,5712.52,1,2.63,7,5,36.15,0.356,0,Dubai,Credit Card,0,Indian
USR000197,32,126.07,4034.1,5,15.63,6,1,45.32,0.372,1,Dubai,Credit Card,0,Pakistani
USR000199,17,101.83,1731.05,2,11.76,2,4,34.52,0.361,0,Dubai,Credit Card,1,Pakistani
USR000202,10,156.29,1562.94,1,10.0,3,1,51.33,0.414,1,Dubai,Apple Pay,1,Pakistani
USR000204,17,86.41,1468.95,1,5.88,6,2,48.42,0.414,0,Dubai,In-App Wallet,1,Filipino
USR000207,13,105.88,1376.49,2,15.38,4,4,38.5,0.392,1,Dubai,Debit Card,1,Filipino
USR000208,24,103.11,2474.71,1,4.17,10,4,43.05,0.353,1,Abu Dhabi,In-App Wallet,0,Indian
USR000209,32,137.12,4387.93,5,15.63,11,3,40.01,0.377,0,Sharjah,Credit Card,0,Indian
USR000211,22,140.02,3080.42,3,13.64,4,2,45.19,0.405,0,Abu Dhabi,Apple Pay,0,Indian
USR000213,32,127.73,4087.25,3,9.38,10,2,43.54,0.392,0,Dubai,Debit Card,0,Indian
USR000214,33,110.97,3662.1,5,15.15,5,0,44.5,0.357,1,Dubai,Apple Pay,0,Indian
USR000216,14,153.89,2154.48,2,14.29,2,2,37.84,0.339,1,Sharjah,Credit Card,1,Indian
USR000219,34,143.19,4868.59,7,20.59,12,3,40.87,0.366,0,Dubai,Debit Card,0,Indian
USR000221,31,116.55,3613.1,3,9.68,3,2,39.85,0.4,0,Dubai,Debit Card,0,Indian
USR000225,37,165.04,6106.49,1,2.7,9,2,37.93,0.37,0,Abu Dhabi,In-App Wallet,0,Indian
USR000227,30,120.08,3602.28,0,0.0,10,2,44.8,0.389,0,Sharjah,Credit Card,0,Indian
USR000230,21,96.09,2017.95,4,19.05,5,2,39.63,0.356,1,Abu Dhabi,Credit Card,0,Arabic
USR000234,35,99.39,3478.65,5,14.29,9,5,44.44,0.369,0,Sharjah,In-App Wallet,0,Indian
USR000238,25,144.51,3612.69,1,4.0,7,2,42.48,0.388,1,Dubai,Credit Card,0,Indian
USR000240,32,139.04,4449.42,2,6.25,8,1,38.78,0.379,1,Dubai,Credit Card,0,Indian
USR000244,30,107.77,3233.09,1,3.33,10,2,39.31,0.404,0,Sharjah,Apple Pay,0,Indian
USR000247,29,117.18,3398.27,2,6.9,5,3,38.7,0.362,1,Dubai,In-App Wallet,0,Indian
USR000250,25,161.47,4036.84,1,4.0,7,1,41.44,0.326,1,Dubai,In-App Wallet,0,Pakistani
USR000251,12,149.1,1789.19,1,8.33,3,3,42.38,0.36,0,Dubai,Apple Pay,1,Indian
USR000252,21,109.47,2298.79,3,14.29,2,1,45.05,0.443,1,Dubai,Credit Card,0,Indian
USR000254,12,123.58,1482.91,0,0.0,0,1,41.23,0.373,0,Abu Dhabi,Credit Card,1,Indian
USR000259,29,132.81,3851.58,5,17.24,8,3,43.41,0.351,1,Sharjah,Apple Pay,0,Arabic
USR000264,14,100.87,1412.2,0,0.0,7,3,42.0,0.37,0,Sharjah,In-App Wallet,1,Indian
USR000266,16,121.58,1945.34,2,12.5,7,4,42.27,0.384,0,Dubai,Credit Card,1,Indian
USR000268,31,115.22,3571.71,4,12.9,11,1,40.82,0.357,0,Dubai,Apple Pay,0,Indian
USR000270,33,108.59,3583.38,4,12.12,10,5,44.15,0.363,1,Dubai,Apple Pay,0,Lebanese
USR000275,22,106.67,2346.76,2,9.09,3,1,41.12,0.357,0,Dubai,Apple Pay,0,Indian
USR000277,10,148.3,1483.02,0,0.0,3,0,46.55,0.372,0,Abu Dhabi,Apple Pay,1,Indian
USR000279,25,164.63,4115.64,2,8.0,6,1,38.84,0.381,1,Abu Dhabi,Apple Pay,0,Indian
USR000281,34,125.46,4265.58,3,8.82,8,1,45.6,0.373,1,Abu Dhabi,Credit Card,0,Indian
USR000284,23,104.53,2404.24,3,13.04,5,3,47.38,0.383,1,Dubai,Apple Pay,0,Indian
USR000291,12,142.09,1705.05,2,16.67,3,2,36.28,0.384,1,Dubai,Apple Pay,1,Italian
USR000296,22,88.49,1946.67,3,13.64,6,3,43.78,0.394,0,Dubai,Credit Card,0,Chinese
USR000298,32,128.48,4111.41,3,9.38,12,3,40.66,0.39,1,Sharjah,Debit Card,0,Pakistani
USR000299,33,101.58,3352.23,4,12.12,7,2,39.88,0.378,1,Dubai,Apple Pay,0,Indian
USR000304,27,205.12,5538.31,1,3.7,7,1,43.83,0.393,1,Dubai,Credit Card,0,Indian
USR000305,36,133.88,4819.72,4,11.11,12,3,43.72,0.384,0,Sharjah,Credit Card,0,Arabic
USR000307,28,102.32,2864.93,3,10.71,11,0,40.82,0.367,1,Dubai,Apple Pay,0,American
USR000312,34,142.66,4850.52,4,11.76,10,0,39.24,0.373,0,Dubai,Apple Pay,0,Indian
USR000320,13,75.38,979.95,2,15.38,5,4,46.78,0.374,1,Dubai,In-App Wallet,1,Indian
USR000321,19,112.85,2144.24,1,5.26,3,5,37.71,0.394,0,Dubai,Apple Pay,1,Indian
USR000322,22,135.24,2975.19,1,4.55,7,3,39.65,0.389,0,Abu Dhabi,Credit Card,0,American
USR000326,23,104.7,2408.05,2,8.7,3,0,45.3,0.373,1,Dubai,Apple Pay,0,Indian
USR000328,29,95.85,2779.68,11,37.93,13,2,51.28,0.367,1,Dubai,Apple Pay,0,Indian
USR000335,28,103.82,2907.05,2,7.14,11,5,37.72,0.365,1,Dubai,Credit Card,0,Indian
USR000348,27,114.46,3090.34,3,11.11,6,0,47.06,0.382,1,Abu Dhabi,Apple Pay,0,Indian
USR000350,31,134.37,4165.44,3,9.68,9,3,43.15,0.41,1,Dubai,Credit Card,0,Indian
USR000353,27,139.54,3767.55,4,14.81,8,1,45.19,0.359,1,Dubai,Apple Pay,0,Indian
USR000355,26,110.36,2869.23,3,11.54,10,3,37.58,0.338,1,Sharjah,In-App Wallet,0,Indian
USR000357,10,60.18,601.76,0,0.0,6,3,45.12,0.346,1,Dubai,In-App Wallet,1,Filipino
USR000359,26,121.45,3157.65,5,19.23,8,1,42.41,0.342,1,Dubai,Credit Card,0,Indian
USR000363,11,122.57,1348.32,1,9.09,4,3,40.4,0.39,1,Dubai,Credit Card,1,Lebanese
USR000369,19,126.51,2403.78,2,10.53,3,2,41.24,0.345,1,Dubai,Credit Card,1,Arabic
USR000372,26,122.03,3172.86,2,7.69,8,5,37.83,0.377,0,Abu Dhabi,In-App Wallet,0,Chinese
USR000378,22,126.8,2789.59,5,22.73,5,1,35.64,0.369,1,Dubai,Credit Card,0,Lebanese
USR000387,37,142.33,5266.37,4,10.81,7,7,42.06,0.36,1,Dubai,Apple Pay,0,Indian
USR000390,26,91.42,2376.81,3,11.54,9,2,35.51,0.388,1,Dubai,Apple Pay,0,Indian
USR000391,28,136.93,3833.96,4,14.29,7,3,46.18,0.414,1,Dubai,Credit Card,0,Indian
USR000393,31,119.12,3692.83,4,12.9,8,0,45.27,0.402,0,Sharjah,Apple Pay,0,Indian
USR000397,25,114.22,2855.58,5,20.0,7,1,47.18,0.407,1,Sharjah,Apple Pay,0,Indian
USR000401,27,144.3,3896.02,2,7.41,11,3,45.01,0.401,0,Dubai,Apple Pay,0,Filipino
USR000405,22,153.29,3372.38,5,22.73,2,1,48.44,0.415,1,Abu Dhabi,Credit Card,0,Indian
USR000407,13,81.79,1063.26,1,7.69,5,3,48.19,0.395,1,Dubai,Credit Card,1,Arabic
USR000412,35,145.66,5098.11,2,5.71,10,5,47.84,0.377,1,Dubai,Credit Card,0,Indian
USR000416,17,107.13,1821.26,1,5.88,9,1,42.26,0.327,1,Dubai,Apple Pay,1,Italian
USR000417,34,137.54,4676.24,3,8.82,9,3,45.51,0.374,1,Dubai,Apple Pay,0,Indian
USR000418,24,135.33,3247.94,3,12.5,4,1,38.36,0.417,1,Abu Dhabi,In-App Wallet,0,Arabic
USR000419,24,111.87,2684.99,3,12.5,8,2,43.34,0.396,1,Sharjah,Credit Card,0,Indian
USR000426,27,130.21,3515.61,2,7.41,8,2,39.65,0.387,0,Dubai,Apple Pay,0,Indian
USR000428,31,126.14,3910.32,3,9.68,12,3,42.8,0.388,1,Dubai,Apple Pay,0,Indian
USR000431,35,126.33,4421.52,4,11.43,12,2,45.52,0.381,0,Abu Dhabi,Apple Pay,0,Indian
USR000432,24,123.19,2956.46,1,4.17,5,4,40.62,0.323,0,Abu Dhabi,Apple Pay,0,Indian
USR000439,26,169.27,4400.91,3,11.54,8,2,44.88,0.421,1,Dubai,Apple Pay,0,Indian
USR000446,31,134.11,4157.37,5,16.13,7,2,45.03,0.397,1,Dubai,Debit Card,0,Indian
USR000448,32,115.87,3707.69,2,6.25,9,0,47.46,0.419,0,Dubai,In-App Wallet,0,Indian
USR000451,14,126.92,1776.9,0,0.0,4,3,52.96,0.377,1,Dubai,Debit Card,1,Indian
USR000452,15,72.62,1089.29,2,13.33,7,2,50.6,0.405,1,Dubai,Credit Card,1,Arabic
USR000456,16,92.8,1484.73,3,18.75,3,3,42.44,0.397,1,Abu Dhabi,Credit Card,1,Indian
USR000459,33,102.59,3385.39,3,9.09,10,3,42.64,0.386,1,Dubai,Credit Card,0,Indian
USR000461,12,106.45,1277.43,3,25.0,4,2,40.44,0.346,1,Dubai,Apple Pay,1,Pakistani
USR000466,33,115.55,3813.01,3,9.09,10,1,47.08,0.402,0,Dubai,Apple Pay,0,Indian
USR000474,14,85.12,1191.69,2,14.29,8,1,39.87,0.39,1,Dubai,Apple Pay,1,Pakistani
USR000475,26,132.4,3442.37,6,23.08,17,2,47.73,0.369,0,Abu Dhabi,Apple Pay,0,Arabic
USR000476,25,105.55,2638.73,3,12.0,10,2,42.15,0.389,1,Dubai,Credit Card,0,Indian
USR000480,24,183.31,4399.35,2,8.33,3,1,41.78,0.356,1,Dubai,Credit Card,0,American
USR000483,28,121.35,3397.87,4,14.29,6,1,43.11,0.381,1,Dubai,Credit Card,0,Indian
USR000498,17,158.51,2694.73,0,0.0,4,3,35.42,0.368,0,Abu Dhabi,Credit Card,1,Chinese
USR000502,23,118.18,2718.17,5,21.74,8,1,41.84,0.33,1,Sharjah,Credit Card,0,Pakistani
USR000512,30,112.75,3382.43,3,10.0,8,2,43.34,0.355,1,Dubai,Apple Pay,0,Indian
USR000513,22,129.53,2849.67,3,13.64,5,1,42.03,0.353,1,Dubai,Apple Pay,0,Indian
USR000514,22,114.08,2509.7,5,22.73,4,1,42.77,0.376,0,Dubai,Credit Card,0,Indian
USR000521,23,144.67,3327.43,2,8.7,7,2,45.95,0.376,1,Ajman,Credit Card,0,Indian
USR000531,30,117.9,3536.94,3,10.0,7,4,45.07,0.363,1,Dubai,Credit Card,0,Indian
USR000539,32,102.11,3267.53,1,3.13,11,3,50.09,0.378,0,Dubai,Credit Card,0,Pakistani
USR000543,27,143.45,3873.28,3,11.11,6,2,32.99,0.376,0,Dubai,Apple Pay,0,Chinese
USR000544,27,90.11,2433.01,5,18.52,8,1,38.8,0.364,1,Abu Dhabi,Apple Pay,0,Pakistani
USR000551,12,129.68,1556.21,0,0.0,5,3,44.94,0.394,0,Dubai,Debit Card,1,Filipino
USR000554,27,180.85,4882.84,6,22.22,9,3,48.26,0.368,0,Abu Dhabi,Apple Pay,0,Arabic
USR000556,27,122.42,3305.4,4,14.81,5,5,47.92,0.393,0,Abu Dhabi,Debit Card,0,American
USR000558,27,133.4,3601.8,2,7.41,7,1,40.79,0.39,0,Dubai,Apple Pay,0,Indian
USR000562,25,94.68,2367.09,7,28.0,10,2,39.17,0.339,1,Abu Dhabi,Credit Card,0,Indian
USR000564,13,122.49,1592.43,1,7.69,5,1,46.86,0.397,1,Dubai,Debit Card,1,Indian
USR000568,22,184.71,4063.55,1,4.55,6,1,45.01,0.367,1,Dubai,Debit Card,0,Indian
USR000571,26,129.79,3374.48,3,11.54,12,2,41.2,0.377,1,Dubai,Credit Card,0,Indian
USR000577,27,114.99,3104.65,3,11.11,5,0,51.75,0.377,0,Dubai,Credit Card,0,Indian
USR000578,15,136.09,2041.29,2,13.33,6,1,40.37,0.367,1,Dubai,Credit Card,1,Arabic
USR000582,15,114.1,1711.56,3,20.0,7,3,49.01,0.393,1,Dubai,Credit Card,1,Indian
USR000583,18,95.55,1719.93,3,16.67,8,0,47.27,0.371,1,Abu Dhabi,Debit Card,0,Filipino
USR000585,41,151.11,6195.57,2,4.88,11,4,42.87,0.346,1,Abu Dhabi,Apple Pay,0,Indian
USR000586,26,86.74,2255.21,3,11.54,5,5,46.73,0.432,0,Sharjah,In-App Wallet,0,Pakistani
USR000587,24,138.15,3315.55,4,16.67,9,1,49.68,0.391,1,Abu Dhabi,Apple Pay,0,Indian
USR000594,20,118.25,2364.98,0,0.0,4,1,44.35,0.397,1,Ajman,Apple Pay,0,American
USR000598,31,114.36,3545.13,1,3.23,4,3,46.9,0.376,1,Dubai,Credit Card,0,Indian
USR000607,14,149.98,2099.75,2,14.29,3,1,37.03,0.443,0,Sharjah,Apple Pay,1,Indian
USR000611,32,129.3,4137.75,5,15.63,9,3,41.03,0.385,1,Dubai,Credit Card,0,Indian
USR000614,18,137.47,2474.49,4,22.22,8,2,43.92,0.367,0,Dubai,Credit Card,0,Chinese
USR000622,13,114.43,1487.55,0,0.0,3,3,37.94,0.349,0,Dubai,Credit Card,1,American
USR000623,27,190.09,5132.47,3,11.11,6,1,40.9,0.38,0,Dubai,Credit Card,0,Indian
USR000625,26,160.22,4165.84,3,11.54,7,0,45.78,0.434,1,Dubai,Debit Card,0,American
USR000631,18,141.64,2549.52,3,16.67,7,2,44.43,0.4,1,Dubai,Debit Card,1,American
USR000632,24,138.22,3317.18,2,8.33,6,1,37.13,0.345,1,Dubai,Credit Card,0,Indian
USR000636,18,110.64,1991.6,2,11.11,4,0,41.37,0.353,1,Dubai,Credit Card,0,Italian
USR000641,21,111.76,2346.94,1,4.76,7,1,39.13,0.364,0,Abu Dhabi,Apple Pay,0,Indian
USR000643,17,159.18,2706.08,2,11.76,5,2,41.35,0.415,0,Dubai,Credit Card,1,Indian
USR000656,32,118.15,3780.64,5,15.63,6,3,41.64,0.391,1,Abu Dhabi,Apple Pay,0,American
USR000662,24,102.48,2459.54,4,16.67,6,2,40.02,0.359,1,Abu Dhabi,Apple Pay,0,Indian
USR000668,18,127.66,2297.83,4,22.22,4,3,43.19,0.375,0,Sharjah,Apple Pay,0,Indian
USR000671,28,124.8,3494.54,0,0.0,8,3,38.48,0.366,1,Sharjah,In-App Wallet,0,Indian
USR000676,13,86.53,1124.89,3,23.08,4,2,37.11,0.374,1,Sharjah,Apple Pay,1,Filipino
USR000680,15,88.05,1320.77,3,20.0,6,4,51.85,0.38,0,Abu Dhabi,Apple Pay,1,Indian
USR000681,36,138.91,5000.75,4,11.11,8,1,43.18,0.393,0,Dubai,Apple Pay,0,Indian
USR000682,27,107.92,2913.85,5,18.52,13,3,46.69,0.397,1,Dubai,Credit Card,0,American
USR000691,29,121.85,3533.6,3,10.34,10,3,43.65,0.381,1,Dubai,Credit Card,0,Indian
USR000694,36,113.37,4081.48,4,11.11,13,2,39.61,0.372,0,Sharjah,Credit Card,0,Indian
USR000699,15,110.73,1660.95,1,6.67,7,2,40.0,0.368,1,Dubai,Debit Card,1,Indian
USR000703,25,94.78,2369.43,0,0.0,11,3,46.4,0.387,0,Abu Dhabi,Debit Card,0,Indian
USR000709,23,119.55,2749.6,3,13.04,6,1,46.7,0.368,1,Sharjah,Credit Card,0,American
USR000711,13,120.81,1570.56,0,0.0,3,4,34.57,0.344,1,Dubai,Apple Pay,1,Arabic
USR000717,35,138.03,4830.99,3,8.57,13,1,41.94,0.371,0,Dubai,Credit Card,0,Arabic
USR000719,25,139.51,3487.76,3,12.0,9,1,37.7,0.402,0,Dubai,Apple Pay,0,Indian
USR000720,22,98.0,2156.01,2,9.09,7,2,38.04,0.332,0,Abu Dhabi,Apple Pay,0,Italian
USR000721,13,139.98,1819.72,0,0.0,5,2,44.43,0.361,0,Dubai,Apple Pay,1,Chinese
USR000725,18,99.32,1787.84,2,11.11,11,5,47.58,0.364,0,Sharjah,Debit Card,1,Arabic
USR000726,30,128.6,3858.08,2,6.67,10,0,43.55,0.371,1,Sharjah,Apple Pay,0,Indian
USR000728,26,129.43,3365.23,3,11.54,6,6,45.25,0.368,1,Sharjah,Credit Card,0,Indian
USR000733,37,100.49,3718.21,2,5.41,11,4,44.8,0.364,1,Sharjah,Credit Card,0,Indian
USR000736,15,149.36,2240.4,3,20.0,2,3,35.69,0.372,1,Abu Dhabi,Credit Card,1,Indian
USR000738,27,107.48,2901.95,1,3.7,7,3,41.02,0.358,0,Dubai,Credit Card,0,Arabic
USR000741,30,174.19,5225.78,4,13.33,12,3,43.29,0.382,0,Sharjah,Debit Card,0,Arabic
USR000742,36,114.05,4105.68,4,11.11,13,5,44.65,0.379,0,Dubai,Credit Card,0,Arabic
USR000746,28,143.95,4030.71,2,7.14,9,1,42.49,0.398,0,Abu Dhabi,Apple Pay,0,Indian
USR000749,31,134.49,4169.14,3,9.68,6,4,42.28,0.351,0,Dubai,Apple Pay,0,Indian
USR000754,35,134.02,4690.71,3,8.57,11,6,41.78,0.386,0,Dubai,Apple Pay,0,Indian
USR000756,27,92.69,2502.68,1,3.7,6,1,44.29,0.395,1,Dubai,Credit Card,0,Indian
USR000757,32,110.09,3522.97,3,9.38,9,2,46.14,0.388,0,Dubai,Credit Card,0,Indian
USR000762,25,132.87,3321.67,2,8.0,10,2,44.33,0.375,0,Dubai,Credit Card,0,Indian
USR000763,28,144.6,4048.92,1,3.57,9,4,44.97,0.373,1,Dubai,Credit Card,0,Indian
USR000765,27,129.55,3497.81,2,7.41,8,1,46.65,0.378,1,Sharjah,In-App Wallet,0,Indian
USR000769,19,109.36,2077.79,0,0.0,8,1,44.85,0.38,1,Dubai,Credit Card,1,Indian
USR000770,14,113.59,1590.26,1,7.14,5,0,47.01,0.377,0,Sharjah,Credit Card,1,Indian
USR000774,24,175.55,4213.26,1,4.17,7,0,49.96,0.44,1,Dubai,Debit Card,0,Indian
USR000776,19,106.44,2022.29,0,0.0,5,1,45.79,0.384,0,Sharjah,Credit Card,1,Indian
USR000779,37,126.37,4675.64,7,18.92,7,0,44.5,0.365,1,Dubai,Apple Pay,0,Indian
USR000787,24,148.99,3575.82,2,8.33,6,1,46.47,0.394,1,Dubai,Debit Card,0,American
USR000788,22,135.25,2975.6,3,13.64,3,2,36.04,0.355,1,Dubai,Credit Card,0,Indian
USR000792,27,126.08,3404.22,2,7.41,9,1,40.3,0.354,1,Dubai,Credit Card,0,Pakistani
USR000796,36,118.1,4251.68,7,19.44,10,2,44.94,0.367,0,Dubai,Apple Pay,0,Indian
USR000803,23,144.5,3323.43,3,13.04,1,1,42.43,0.387,1,Abu Dhabi,Apple Pay,0,Indian
USR000806,21,121.77,2557.25,1,4.76,3,0,45.03,0.415,0,Dubai,Debit Card,1,Indian
USR000807,29,115.82,3358.85,2,6.9,11,3,42.37,0.361,1,Dubai,Apple Pay,0,Indian
USR000808,29,142.08,4120.2,2,6.9,9,3,42.41,0.388,0,Sharjah,Debit Card,0,Indian
USR000811,13,137.52,1787.77,2,15.38,4,0,35.82,0.302,0,Dubai,Apple Pay,0,Indian
USR000813,28,142.99,4003.83,4,14.29,11,2,42.77,0.359,1,Sharjah,In-App Wallet,0,Indian
USR000820,15,134.4,2015.94,2,13.33,6,3,44.5,0.347,1,Dubai,Debit Card,0,Indian
USR000828,29,148.13,4295.65,5,17.24,11,3,46.75,0.407,1,Dubai,Credit Card,0,Indian
USR000832,14,144.26,2019.7,3,21.43,2,2,40.74,0.333,1,Abu Dhabi,Apple Pay,1,American
USR000833,22,104.14,2291.0,1,4.55,8,2,50.95,0.37,1,Abu Dhabi,Credit Card,0,Indian
USR000836,43,137.86,5927.85,4,9.3,9,3,43.84,0.41,1,Dubai,Apple Pay,0,Indian
USR000841,14,86.27,1207.81,1,7.14,3,3,46.47,0.455,1,Dubai,In-App Wallet,1,Indian
USR000842,11,74.12,815.28,2,18.18,4,2,38.45,0.374,1,Sharjah,Apple Pay,1,Indian
USR000845,27,146.19,3947.0,5,18.52,7,5,43.52,0.396,1,Dubai,In-App Wallet,0,Filipino
USR000848,27,133.5,3604.61,6,22.22,11,4,39.56,0.387,0,Abu Dhabi,Credit Card,0,Indian
USR000849,33,139.97,4619.13,2,6.06,11,5,39.45,0.377,0,Dubai,Apple Pay,0,Indian
USR000851,41,98.2,4026.34,4,9.76,8,5,54.01,0.379,1,Abu Dhabi,Credit Card,0,Indian
USR000853,25,88.46,2211.56,4,16.0,12,1,32.14,0.368,1,Abu Dhabi,Credit Card,0,Filipino
USR000854,33,97.18,3206.92,5,15.15,12,3,44.43,0.399,1,Dubai,Debit Card,0,Indian
USR000856,30,118.27,3548.12,2,6.67,12,2,43.5,0.382,1,Dubai,In-App Wallet,0,Indian
USR000859,25,93.9,2347.41,2,8.0,5,2,43.86,0.373,1,Dubai,Debit Card,0,Lebanese
USR000864,29,121.82,3532.86,5,17.24,13,3,37.48,0.371,0,Abu Dhabi,In-App Wallet,0,Indian
USR000866,27,140.27,3787.26,2,7.41,9,0,47.65,0.403,0,Dubai,Apple Pay,0,Indian
USR000870,35,212.6,7440.84,4,11.43,13,4,42.35,0.365,1,Abu Dhabi,Apple Pay,0,Arabic
USR000871,31,126.85,3932.29,6,19.35,8,4,45.31,0.382,1,Dubai,Credit Card,0,Filipino
USR000874,27,156.19,4217.25,2,7.41,9,4,40.15,0.386,1,Dubai,In-App Wallet,0,Arabic
USR000875,32,129.44,4142.15,5,15.63,8,0,50.32,0.398,1,Dubai,Credit Card,0,Indian
USR000876,14,115.02,1610.24,0,0.0,1,2,44.57,0.378,0,Sharjah,Apple Pay,1,Chinese
USR000882,32,118.38,3788.22,5,15.63,10,4,45.62,0.4,1,Sharjah,In-App Wallet,0,Indian
USR000888,23,132.86,3055.88,4,17.39,9,1,48.23,0.429,1,Dubai,Credit Card,0,Indian
USR000896,38,129.62,4925.53,3,7.89,7,7,41.19,0.402,0,Dubai,Credit Card,0,Indian
USR000898,13,128.62,1672.03,0,0.0,4,4,50.88,0.394,0,Dubai,Credit Card,1,Arabic
USR000904,28,137.68,3855.01,1,3.57,10,1,40.81,0.378,0,Dubai,In-App Wallet,0,Indian
